p=41 t=28 rank=22500000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,19,20,21,22,23,25,26,27,29,31,33,36,37 wit=16,3,31,29,11,21,17,19,9,6,27,5,33,20,10,1,14,8,2,36,4,12,26,22,7,23,25,37
p=41 t=28 rank=25300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,21,22,23,24,26,27,28,30,32,36,37 wit=10,18,12,37,6,1,4,5,27,32,24,8,19,15,2,17,28,36,23,7,21,11,22,30,16,9,3,26
p=41 t=28 rank=25600000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,20,23,24,25,26,27,29,32,33,34,35,36 wit=2,18,25,11,36,32,29,20,12,6,4,23,34,27,33,7,35,26,8,3,16,17,15,10,5,9,24,1
p=41 t=28 rank=25800000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,19,20,21,22,25,29,31,32,33,34,35,37,38 wit=32,16,29,6,17,20,19,7,5,21,33,15,2,38,25,35,4,3,10,12,31,11,9,34,22,1,37,8
p=41 t=28 rank=29400000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,16,18,20,21,22,23,24,25,26,27,28,31,32,33,34,35 wit=11,33,2,10,24,22,7,3,28,6,18,25,12,26,32,1,21,27,5,23,4,20,16,31,9,34,35,8
p=41 t=28 rank=29700000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,12,17,18,19,20,21,22,23,25,26,27,29,30,31,34,36,37 wit=27,22,9,2,34,1,7,18,10,26,3,4,11,12,25,37,19,8,21,17,30,20,36,29,6,31,23,5
p=41 t=28 rank=32500000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,19,20,21,24,26,27,28,29,30,33,35,36,38 wit=5,2,9,15,10,8,7,6,19,27,24,33,13,14,4,36,20,38,30,1,3,21,26,28,29,11,35,16
p=41 t=28 rank=33000000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,25,26,27,29,32,34,35,36,37 wit=19,32,11,36,37,25,3,6,26,13,17,14,15,18,29,9,35,21,1,34,27,10,7,8,5,20,2,4
p=41 t=28 rank=35100000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,21,22,24,28,29,30,33,34,35,36,37 wit=10,29,24,35,30,13,34,33,4,21,19,36,18,37,2,6,7,1,14,28,22,11,5,8,3,9,17,16
p=41 t=28 rank=37000000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,14,17,18,19,20,24,25,27,29,31,32,33,34,35,36,37 wit=10,29,6,32,1,24,8,7,25,33,18,37,13,34,11,5,2,4,9,19,35,14,20,27,3,17,31,36
p=41 t=28 rank=39300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,15,16,18,19,20,21,22,23,24,27,28,29,30,31,33,37 wit=29,8,30,33,21,27,16,7,5,1,9,18,3,13,2,19,37,28,15,23,31,22,10,6,24,4,20,11
p=41 t=28 rank=39400000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,15,16,18,19,20,22,23,25,26,29,30,32,33,34,36,37 wit=37,29,9,1,16,18,33,3,23,13,15,22,5,7,19,2,26,10,6,8,25,4,36,11,20,34,32,30
p=41 t=28 rank=41300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,13,15,19,20,22,23,24,25,27,28,30,31,32,33,35,36,38 wit=32,6,10,30,33,11,4,8,9,13,25,7,31,1,36,3,5,27,38,22,24,35,28,2,23,15,19,20
p=41 t=28 rank=45200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,14,15,16,19,20,22,24,25,27,29,30,31,32,34,35,37,38 wit=32,10,6,31,30,19,3,15,29,34,16,5,11,35,7,20,25,24,4,22,38,8,37,2,14,9,27,1
p=41 t=28 rank=47200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,14,16,17,18,22,23,24,25,26,27,29,32,33,34,35,36,37 wit=14,17,4,36,8,22,5,24,26,3,37,10,1,18,34,27,29,6,32,2,35,23,9,25,33,16,11,7
p=41 t=28 rank=48200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,14,17,18,19,21,23,24,26,28,29,30,31,32,33,34,35,36 wit=4,9,23,6,14,10,33,35,5,2,26,17,21,19,3,31,34,18,32,7,29,1,24,36,11,28,8,30
p=41 t=28 rank=51800000 tier=2 A=1,2,3,4,5,6,7,8,9,10,11,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,35,37 wit=7,8,32,26,22,4,3,24,31,9,37,2,18,19,30,20,28,27,21,11,1,10,6,23,33,29,35,5
p=41 t=28 rank=52400000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,20,23,24,27,28,30,31,32,34,35,37 wit=35,27,12,30,1,5,13,32,16,20,10,15,14,24,37,34,8,31,17,3,9,18,2,6,7,4,23,28
p=41 t=28 rank=54300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,20,23,24,25,27,29,31,32,33,34,35,36,37 wit=27,24,33,4,16,23,37,36,2,8,12,25,34,32,7,31,6,15,5,13,3,10,35,9,29,14,20,1
p=41 t=28 rank=54800000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,20,21,23,24,26,27,28,29,31,33,34,37 wit=23,27,18,33,34,17,15,14,20,3,6,5,31,7,4,9,13,12,10,28,29,26,24,37,1,21,2,8
p=41 t=28 rank=55300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,19,22,23,26,28,29,30,31,32,33,34,35,37 wit=35,26,6,23,15,9,13,29,19,31,2,4,12,34,22,37,7,1,3,14,32,10,28,8,30,17,5,33
p=41 t=28 rank=57000000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,32,33 wit=1,5,33,10,16,24,21,13,14,22,2,19,4,23,29,6,26,3,9,28,32,20,27,8,7,25,12,17
p=41 t=28 rank=57800000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,16,18,20,21,22,23,24,26,28,30,31,33,34,35,36 wit=36,16,14,26,18,34,8,24,30,3,5,28,23,12,7,6,21,31,20,22,1,10,4,2,9,35,13,33
p=41 t=28 rank=59200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,14,18,19,20,21,24,26,27,28,29,30,31,32,33,35,38 wit=35,18,10,7,13,27,5,28,19,6,12,8,24,1,38,32,31,3,4,30,21,33,20,2,9,14,26,29
p=41 t=28 rank=62300000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,15,17,20,21,22,23,25,28,29,30,31,32,33,34,37,38 wit=25,34,15,5,17,13,22,21,32,30,6,20,7,23,29,33,3,12,9,8,4,38,10,37,28,2,31,1
p=41 t=28 rank=63400000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,13,16,17,19,20,21,22,23,24,28,29,30,32,33,35,36,38 wit=6,4,2,17,38,1,7,32,33,22,35,12,24,9,20,3,19,5,28,16,30,13,29,23,36,10,21,8
p=41 t=28 rank=67400000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,14,15,17,19,20,21,22,23,24,26,27,29,31,33,34,35,37 wit=1,26,9,3,19,27,20,12,22,34,17,23,10,35,8,21,14,31,15,6,37,7,2,33,24,29,4,5
p=41 t=28 rank=71600000 tier=2 A=1,2,3,4,5,6,7,8,9,10,12,15,17,18,19,20,21,23,24,25,26,30,31,33,34,35,36,38 wit=9,17,30,7,38,12,24,31,6,36,34,10,5,3,26,23,1,18,35,4,21,2,25,33,19,20,15,8
p=41 t=28 rank=75500000 tier=2 A=1,2,3,4,5,6,7,8,9,10,13,14,15,17,18,19,21,22,23,24,25,26,27,29,31,34,36,37 wit=7,24,36,8,17,22,27,2,34,15,10,5,14,37,9,23,6,21,19,3,31,13,26,1,4,25,29,18
p=41 t=28 rank=76200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,13,14,15,18,19,20,21,23,24,26,27,29,31,33,34,35,36,37 wit=14,10,1,27,18,8,2,23,20,35,26,36,29,24,7,4,19,37,21,15,33,9,34,5,13,3,6,31
p=41 t=28 rank=76800000 tier=2 A=1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,20,24,26,27,28,30,31,33,34,35,37,38 wit=4,17,9,20,30,14,10,26,8,31,28,3,33,19,18,34,24,27,2,6,37,1,35,16,7,5,38,13
p=41 t=28 rank=78700000 tier=2 A=1,2,3,4,5,6,7,8,9,10,13,15,16,17,18,19,20,21,22,23,26,27,28,29,33,35,36,37 wit=29,28,35,13,23,3,17,10,5,22,16,21,7,36,9,20,2,18,6,26,8,4,15,37,1,19,27,33
p=41 t=28 rank=79200000 tier=2 A=1,2,3,4,5,6,7,8,9,10,13,15,16,17,19,20,21,22,23,26,27,30,31,32,34,35,37,38 wit=34,5,22,16,8,9,23,20,2,31,1,30,3,10,13,4,6,38,37,27,7,15,21,17,32,35,26,19
